Draft_Position,Name,TEAM,POS,value,Team,playerid,url,xpath,xpathIP_PA,Status,New_Position
97,Evan Gattis,Hou,C,$7,Team Brothers,11003,http://www.fangraphs.com/statss.aspx?playerid=11003&position=C/DH,"//*[@id=""SeasonStats1_dgSeason11_ctl00__29""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__29""]/td[4]",Starter,
102,Domingo Santana,Mil,OF,$8,Team Brothers,10348,http://www.fangraphs.com/statss.aspx?playerid=10348&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__30""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__30""]/td[4]",Starter,
110,Wil Myers,SD,1B,$8,Team Brothers,10047,http://www.fangraphs.com/statss.aspx?playerid=10047&position=1B/OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__30""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__30""]/td[4]",Starter,OF
112,Kyle Hendricks,ChC,SP,$6,Team Brothers,12049,http://www.fangraphs.com/statss.aspx?playerid=12049&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__26""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__26""]/td[8]",Starter,
118,Steven Souza Jr.,Ari,OF,$5,Team Brothers,5667,https://www.fangraphs.com/statss.aspx?playerid=5667&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__30""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__30""]/td[4]",Starter,
121,Yoenis Cespedes,NYM,OF,$10,Team Brothers,13110,http://www.fangraphs.com/statss.aspx?playerid=13110&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__31""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__31""]/td[4]",Starter,
124,Cody Allen,Cle,RP,$7,Team Brothers,12183,http://www.fangraphs.com/statss.aspx?playerid=12183&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__28""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__28""]/td[8]",Starter,
131,Lance McCullers Jr.,Hou,SP,$9,Team Brothers,14120,https://www.fangraphs.com/statss.aspx?playerid=14120&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__24""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__24""]/td[8]",Starter,
137,Charlie Morton,Hou,SP,$7,Team Brothers,4676,http://www.fangraphs.com/statss.aspx?playerid=4676&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__44""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__44""]/td[8]",Starter,
141,Andrew Miller,Cle,RP,$7,Team Brothers,6785,http://www.fangraphs.com/statss.aspx?playerid=6785&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__56""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__56""]/td[8]",Starter,
145,Jake Arrieta,Phi,SP,$14,Team Brothers,4153,http://www.fangraphs.com/statss.aspx?playerid=4153&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__37""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__37""]/td[8]",Starter,
148,Julio Teheran,Atl,SP,$5,Team Brothers,6797,http://www.fangraphs.com/statss.aspx?playerid=6797&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__31""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__31""]/td[8]",Starter,
166,Brandon Morrow,ChC,RP,$3,Team Brothers,9346,https://www.fangraphs.com/statss.aspx?playerid=9346&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__48""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__48""]/td[8]",Bench,
167,Evan Longoria,SF,3B,$5,Team Brothers,9368,http://www.fangraphs.com/statss.aspx?playerid=9368&position=3B,"//*[@id=""SeasonStats1_dgSeason11_ctl00__38""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__38""]/td[4]",Starter,
179,Wade Davis,Col,RP,$2,Team Brothers,7441,http://www.fangraphs.com/statss.aspx?playerid=7441&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__39""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__39""]/td[8]",Bench,
189,Paul DeJong,StL,SS,$3,Team Brothers,18015,https://www.fangraphs.com/statss.aspx?playerid=18015&position=SS,"//*[@id=""SeasonStats1_dgSeason11_ctl00__13""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__13""]/td[4]",Starter,
190,Sean Doolittle,Wsh,RP,$2,Team Brothers,1581,https://www.fangraphs.com/statss.aspx?playerid=1581&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__34""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__34""]/td[8]",Starter,
192,Ian Happ,ChC,2B,$4,Team Brothers,17919,https://www.fangraphs.com/statss.aspx?playerid=17919&position=2B/OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__15""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__15""]/td[4]",Starter,
198,Alex Colome,TB,RP,$3,Team Brothers,6661,http://www.fangraphs.com/statss.aspx?playerid=6661&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__30""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__30""]/td[8]",Bench,
200,Ian Kinsler,LAA,2B,$3,Team Brothers,6195,http://www.fangraphs.com/statss.aspx?playerid=6195&position=2B,"//*[@id=""SeasonStats1_dgSeason11_ctl00__40""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__40""]/td[4]",Starter,
208,Brad Hand,SD,RP,$2,Team Brothers,9111,http://www.fangraphs.com/statss.aspx?playerid=9111&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__32""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__32""]/td[8]",Starter,
211,Jonathan Lucroy,Oak,C,$3,Team Brothers,7870,http://www.fangraphs.com/statss.aspx?playerid=7870&position=C,"//*[@id=""SeasonStats1_dgSeason11_ctl00__40""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__40""]/td[4]",Starter,
222,Ryan Zimmerman,Wsh,1B,$3,Team Brothers,4220,https://www.fangraphs.com/statss.aspx?playerid=4220&position=3B,"//*[@id=""SeasonStats1_dgSeason11_ctl00__47""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__47""]/td[4]",Bench,
18,Bryce Harper,Wsh,OF,$42,Team Baumgardner,11579,http://www.fangraphs.com/statss.aspx?playerid=11579&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__30""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__30""]/td[4]",Starter,
26,Charlie Blackmon,Col,OF,$33,Team Baumgardner,7859,http://www.fangraphs.com/statss.aspx?playerid=7859&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__30""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__30""]/td[4]",Starter,
30,Gio Gonzalez,Wsh,SP,$21,Team Baumgardner,7448,http://www.fangraphs.com/statss.aspx?playerid=7448&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__36""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__36""]/td[8]",Starter,
53,J.A. Happ,Tor,SP,$11,Team Baumgardner,7410,http://www.fangraphs.com/statss.aspx?playerid=7410&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__53""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__53""]/td[8]",Starter,
64,Sonny Gray,NYY,SP,$14,Team Baumgardner,12768,http://www.fangraphs.com/statss.aspx?playerid=12768&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__28""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__28""]/td[8]",Starter,
75,Dylan Bundy,Bal,SP,$7,Team Baumgardner,12917,http://www.fangraphs.com/statss.aspx?playerid=12917&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__18""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__18""]/td[8]",Starter,
77,Gary Sanchez,NYY,C,$21,Team Baumgardner,11442,http://www.fangraphs.com/statss.aspx?playerid=11442&position=C,"//*[@id=""SeasonStats1_dgSeason11_ctl00__26""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__26""]/td[4]",Starter,
80,Zack Greinke,Ari,SP,$18,Team Baumgardner,1943,http://www.fangraphs.com/statss.aspx?playerid=1943&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__48""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__48""]/td[8]",Starter,
85,Jordan Montgomery,NYY,SP,$7,Team Baumgardner,16511,https://www.fangraphs.com/statss.aspx?playerid=16511&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__17""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__17""]/td[8]",Starter,
92,Jean Segura,Sea,SS,$11,Team Baumgardner,5933,http://www.fangraphs.com/statss.aspx?playerid=5933&position=SS,"//*[@id=""SeasonStats1_dgSeason11_ctl00__32""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__32""]/td[4]",Starter,
96,Mike Moustakas,KC,3B,$13,Team Baumgardner,4892,http://www.fangraphs.com/statss.aspx?playerid=4892&position=3B,"//*[@id=""SeasonStats1_dgSeason11_ctl00__31""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__31""]/td[4]",Starter,
100,David Peralta,Ari,OF,$6,Team Baumgardner,2136,http://www.fangraphs.com/statss.aspx?playerid=2136&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__21""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__21""]/td[4]",Starter,
103,Joey Gallo,Tex,3B,$11,Team Baumgardner,14128,https://www.fangraphs.com/statss.aspx?playerid=14128&position=1B/3B,"//*[@id=""SeasonStats1_dgSeason11_ctl00__22""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__22""]/td[4]",Starter,
114,Jonathan Schoop,Bal,2B,$14,Team Baumgardner,11265,http://www.fangraphs.com/statss.aspx?playerid=11265&position=2B,"//*[@id=""SeasonStats1_dgSeason11_ctl00__33""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__33""]/td[4]",Starter,
115,Rougned Odor,Tex,2B,$4,Team Baumgardner,12282,http://www.fangraphs.com/statss.aspx?playerid=12282&position=2B,"//*[@id=""SeasonStats1_dgSeason11_ctl00__25""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__25""]/td[4]",Starter,
125,Justin Smoak,Tor,1B,$6,Team Baumgardner,9054,https://www.fangraphs.com/statss.aspx?playerid=9054&position=1B,"//*[@id=""SeasonStats1_dgSeason11_ctl00__37""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__37""]/td[4]",Starter,
136,Adam Duvall,Cin,OF,$5,Team Baumgardner,10950,http://www.fangraphs.com/statss.aspx?playerid=10950&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__22""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__22""]/td[4]",Starter,
151,Corey Dickerson,Pit,OF,$4,Team Baumgardner,10762,https://www.fangraphs.com/statss.aspx?playerid=10762&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__25""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__25""]/td[4]",Starter,
177,Luke Weaver,StL,SP,$5,Team Baumgardner,3256,https://www.fangraphs.com/statss.aspx?playerid=16918&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__17""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__17""]/td[8]",Starter,
180,Welington Castillo,CWS,C,$5,Team Baumgardner,3256,http://www.fangraphs.com/statss.aspx?playerid=3256&position=C,"//*[@id=""SeasonStats1_dgSeason11_ctl00__40""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__40""]/td[4]",Starter,
201,Orlando Arcia,Mil,SS,$2,Team Baumgardner,13185,https://www.fangraphs.com/statss.aspx?playerid=13185&position=SS,"//*[@id=""SeasonStats1_dgSeason11_ctl00__16""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__16""]/td[4]",Bench,
202,Taijuan Walker,Ari,SP,$4,Team Baumgardner,11836,http://www.fangraphs.com/statss.aspx?playerid=11836&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__27""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__27""]/td[8]",Starter,
206,Marwin Gonzalez,Hou,SS,$3,Team Baumgardner,5497,https://www.fangraphs.com/statss.aspx?playerid=5497&position=SS,"//*[@id=""SeasonStats1_dgSeason11_ctl00__33""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__33""]/td[4]",Bench,
225,Kyle Schwarber,ChC,OF,$2,Team Baumgardner,16478,http://www.fangraphs.com/statss.aspx?playerid=16478&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__22""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__22""]/td[4]",Bench,
244,Mike Leake,Sea,SP,$1,Team Baumgardner,10130,http://www.fangraphs.com/statss.aspx?playerid=10130&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__29""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__29""]/td[8]",Starter,
254,Jake Odorizzi,Min,SP,$1,Team Baumgardner,6397,http://www.fangraphs.com/statss.aspx?playerid=6397&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__29""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__29""]/td[8]",Starter,
282,Tyler Anderson,Col,SP,$1,Team Baumgardner,12880,http://www.fangraphs.com/statss.aspx?playerid=12880&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__20""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__20""]/td[8]",Starter,
289,Reynaldo Lopez,CWS,SP,$1,Team Baumgardner,16400,https://www.fangraphs.com/statss.aspx?playerid=16400&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__21""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__21""]/td[8]",Starter,
295,Jhoulys Chacin,Mil,SP,$1,Team Baumgardner,2608,https://www.fangraphs.com/statss.aspx?playerid=2608&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__41""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__41""]/td[8]",Bench,
301,Tyler Mahle,Cin,SP,$1,Team Baumgardner,16358,https://www.fangraphs.com/statss.aspx?playerid=16358&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__16""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__16""]/td[8]",Bench,
2,Mike Trout,LAA,OF,$65,Spend Nutting Win Nutting,10155,http://www.fangraphs.com/statss.aspx?playerid=10155&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__29""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__29""]/td[4]",Starter,
4,Jose Altuve,Hou,2B,$45,Spend Nutting Win Nutting,5417,http://www.fangraphs.com/statss.aspx?playerid=5417&position=2B,"//*[@id=""SeasonStats1_dgSeason11_ctl00__31""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__31""]/td[4]",Starter,
19,Trevor Story,Col,SS,$14,Spend Nutting Win Nutting,12564,http://www.fangraphs.com/statss.aspx?playerid=12564&position=SS,"//*[@id=""SeasonStats1_dgSeason11_ctl00__21""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__21""]/td[4]",Starter,
32,Carlos Carrasco,Cle,SP,$30,Spend Nutting Win Nutting,6632,http://www.fangraphs.com/statss.aspx?playerid=6632&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__35""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__35""]/td[8]",Starter,
50,Travis Shaw,Mil,3B,$11,Spend Nutting Win Nutting,11982,https://www.fangraphs.com/statss.aspx?playerid=11982&position=1B/3B,"//*[@id=""SeasonStats1_dgSeason11_ctl00__22""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__22""]/td[4]",Starter,
54,Josh Harrison,Pit,2B,$9,Spend Nutting Win Nutting,8202,http://www.fangraphs.com/statss.aspx?playerid=8202&position=2B/3B,"//*[@id=""SeasonStats1_dgSeason11_ctl00__33""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__33""]/td[4]",Starter,
73,Jose Abreu,CWS,1B,$22,Spend Nutting Win Nutting,15676,http://www.fangraphs.com/statss.aspx?playerid=15676&position=1B,"//*[@id=""SeasonStats1_dgSeason11_ctl00__15""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__15""]/td[4]",Starter,
76,Yadier Molina,StL,C,$9,Spend Nutting Win Nutting,7007,http://www.fangraphs.com/statss.aspx?playerid=7007&position=C,"//*[@id=""SeasonStats1_dgSeason11_ctl00__45""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__45""]/td[4]",Starter,
79,Justin Upton,LAA,OF,$18,Spend Nutting Win Nutting,5222,http://www.fangraphs.com/statss.aspx?playerid=5222&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__39""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__39""]/td[4]",Starter,
90,Gerrit Cole,Hou,SP,$15,Spend Nutting Win Nutting,13125,http://www.fangraphs.com/statss.aspx?playerid=13125&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__25""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__25""]/td[8]",Starter,
108,Randal Grichuk,Tor,OF,$5,Spend Nutting Win Nutting,10243,http://www.fangraphs.com/statss.aspx?playerid=10243&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__30""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__30""]/td[4]",Starter,
117,Matt Olson,Oak,1B,$5,Spend Nutting Win Nutting,14344,https://www.fangraphs.com/statss.aspx?playerid=14344&position=1B/OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__18""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__18""]/td[4]",Starter,
132,Corey Knebel,Mil,RP,$6,Spend Nutting Win Nutting,15010,https://www.fangraphs.com/statss.aspx?playerid=15010&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__22""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__22""]/td[8]",Starter,
149,Ryan Braun,Mil,OF,$4,Spend Nutting Win Nutting,3410,http://www.fangraphs.com/statss.aspx?playerid=3410&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__35""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__35""]/td[4]",Starter,
182,Rafael Devers,Bos,3B,$2,Spend Nutting Win Nutting,17350,https://www.fangraphs.com/statss.aspx?playerid=17350&position=3B,"//*[@id=""SeasonStats1_dgSeason11_ctl00__16""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__16""]/td[4]",Bench,
219,Josh Reddick,Hou,OF,$1,Spend Nutting Win Nutting,3892,https://www.fangraphs.com/statss.aspx?playerid=3892&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__47""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__47""]/td[4]",Starter,
230,Jeurys Familia,NYM,RP,$1,Spend Nutting Win Nutting,5114,http://www.fangraphs.com/statss.aspx?playerid=5114&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__32""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__32""]/td[8]",Starter,
240,Mark Melancon,SF,RP,$1,Spend Nutting Win Nutting,4264,http://www.fangraphs.com/statss.aspx?playerid=4264&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__34""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__34""]/td[8]",Starter,
269,Archie Bradley,Ari,RP,$1,Spend Nutting Win Nutting,12918,https://www.fangraphs.com/statss.aspx?playerid=12918&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__25""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__25""]/td[8]",Starter,
278,Hector Neris,Phi,RP,$1,Spend Nutting Win Nutting,11804,http://www.fangraphs.com/statss.aspx?playerid=11804&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__22""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__22""]/td[8]",Starter,
286,Jose Peraza,Cin,SS,$1,Spend Nutting Win Nutting,13593,http://www.fangraphs.com/statss.aspx?playerid=13593&position=2B/SS,"//*[@id=""SeasonStats1_dgSeason11_ctl00__22""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__22""]/td[4]",Bench,
293,Tim Anderson,CWS,SS,$1,Spend Nutting Win Nutting,15172,http://www.fangraphs.com/statss.aspx?playerid=15172&position=SS,"//*[@id=""SeasonStats1_dgSeason11_ctl00__17""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__17""]/td[4]",Bench,
304,Blake Treinen,Oak,RP,$1,Spend Nutting Win Nutting,12572,http://www.fangraphs.com/statss.aspx?playerid=12572&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__24""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__24""]/td[8]",Starter,
308,Jorge Polanco,Min,SS,$1,Spend Nutting Win Nutting,13152,https://www.fangraphs.com/statss.aspx?playerid=13152&position=SS,"//*[@id=""SeasonStats1_dgSeason11_ctl00__16""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__16""]/td[4]",Bench,
312,Dellin Betances,NYY,RP,$1,Spend Nutting Win Nutting,6216,http://www.fangraphs.com/statss.aspx?playerid=6216&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__33""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__33""]/td[8]",Starter,
315,Cesar Hernandez,Phi,2B,$1,Spend Nutting Win Nutting,10556,http://www.fangraphs.com/statss.aspx?playerid=10556&position=2B,"//*[@id=""SeasonStats1_dgSeason11_ctl00__29""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__29""]/td[4]",Bench,
318,Zach Britton,Bal,RP,$1,Spend Nutting Win Nutting,3240,http://www.fangraphs.com/statss.aspx?playerid=3240&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__28""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__28""]/td[8]",Starter,
321,Michael Kopech,CWS,SP,$1,Spend Nutting Win Nutting,sa828680,https://www.fangraphs.com/statss.aspx?playerid=sa828680&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__12""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__12""]/td[8]",Starter,
324,Adam Wainwright,StL,SP,$1,Spend Nutting Win Nutting,2233,https://www.fangraphs.com/statss.aspx?playerid=2233&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__40""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__40""]/td[8]",Starter,
327,Matt Wieters,Wsh,C,$1,Spend Nutting Win Nutting,4298,http://www.fangraphs.com/statss.aspx?playerid=4298&position=C,"//*[@id=""SeasonStats1_dgSeason11_ctl00__34""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__34""]/td[4]",Starter,